    46     -0.15136561E-04      0.17379207E-05      0.17687591E-06     -0.57445298E-04     -0.30807975E-02      0.57340252E-03
    47     -0.14878978E-04      0.16708825E-05      0.17005313E-06     -0.56234656E-04     -0.30256574E-02      0.55084272E-03
    48     -0.14629786E-04      0.16075164E-05      0.16360408E-06     -0.55074006E-04     -0.29721955E-02      0.52953748E-03
    49     -0.14388617E-04      0.15475655E-05      0.15750261E-06     -0.53960313E-04     -0.29203471E-02      0.50939737E-03
    50     -0.14155124E-04      0.14907947E-05      0.15172479E-06     -0.52890785E-04     -0.28700499E-02      0.49034075E-03
    51     -0.13928975E-04      0.14369884E-05      0.14624869E-06     -0.51862844E-04     -0.28212445E-02      0.47229291E-03
    52     -0.13709857E-04      0.13859488E-05      0.14105416E-06     -0.50874110E-04     -0.27738739E-02      0.45518543E-03
    53     -0.13497475E-04      0.13374939E-05      0.13612270E-06     -0.49922382E-04     -0.27278836E-02      0.43895551E-03
    54     -0.13291546E-04      0.12914564E-05      0.13143726E-06     -0.49005620E-04     -0.26832213E-02      0.42354544E-03
    55     -0.13091803E-04      0.12476820E-05      0.12698213E-06     -0.48121932E-04     -0.26398370E-02      0.40890214E-03
    56     -0.12897991E-04      0.12060282E-05      0.12274284E-06     -0.47269558E-04     -0.25976828E-02      0.39497669E-03
    57     -0.12709869E-04      0.11663634E-05      0.11870598E-06     -0.46446864E-04     -0.25567129E-02      0.38172396E-03
    58     -0.12527208E-04      0.11285661E-05      0.11485919E-06     -0.45652324E-04     -0.25168835E-02      0.36910229E-03
    59     -0.12349790E-04      0.10925236E-05      0.11119098E-06     -0.44884518E-04     -0.24781525E-02      0.35707313E-03
    60     -0.12177406E-04      0.10581314E-05      0.10769073E-06     -0.44142119E-04     -0.24404798E-02      0.34560080E-03
    61     -0.12009860E-04      0.10252926E-05      0.10434858E-06     -0.43423886E-04     -0.24038269E-02      0.33465223E-03
    62     -0.11846965E-04      0.99391732E-06      0.10115538E-06     -0.42728657E-04     -0.23681571E-02      0.32419675E-03
    63     -0.11688540E-04      0.96392174E-06      0.98102595E-07     -0.42055345E-04     -0.23334351E-02      0.31420586E-03
    64     -0.11534415E-04      0.93522803E-06      0.95182308E-07     -0.41402929E-04     -0.22996273E-02      0.30465306E-03
    65     -0.11384429E-04      0.90776363E-06      0.92387135E-07     -0.40770450E-04     -0.22667014E-02      0.29551370E-03
    66     -0.11238427E-04      0.88146091E-06      0.89710190E-07     -0.40157010E-04     -0.22346264E-02      0.28676480E-03
    67     -0.11096260E-04      0.85625674E-06      0.87145050E-07     -0.39561760E-04     -0.22033729E-02      0.27838496E-03
    68     -0.10957788E-04      0.83209215E-06      0.84685712E-07     -0.38983903E-04     -0.21729124E-02      0.27035419E-03
    69     -0.10822878E-04      0.80891203E-06      0.82326569E-07     -0.38422687E-04     -0.21432179E-02      0.26265382E-03
    70     -0.10691399E-04      0.78666481E-06      0.80062371E-07     -0.37877405E-04     -0.21142633E-02      0.25526639E-03
    71     -0.10563232E-04      0.76530221E-06      0.77888204E-07     -0.37347386E-04     -0.20860237E-02      0.24817558E-03
    72     -0.10438257E-04      0.74477898E-06      0.75799463E-07     -0.36831999E-04     -0.20584753E-02      0.24136608E-03
    73     -0.10316364E-04      0.72505269E-06      0.73791831E-07     -0.36330646E-04     -0.20315950E-02      0.23482357E-03
    74     -0.10197446E-04      0.70608350E-06      0.71861253E-07     -0.35842761E-04     -0.20053610E-02      0.22853460E-03
    75     -0.10081400E-04      0.68783403E-06      0.70003923E-07     -0.35367808E-04     -0.19797522E-02      0.22248655E-03
    76     -0.99681291E-05      0.67026911E-06      0.68216263E-07     -0.34905281E-04     -0.19547484E-02      0.21666757E-03
    77     -0.98575395E-05      0.65335568E-06      0.66494908E-07     -0.34454697E-04     -0.19303302E-02      0.21106651E-03
    78     -0.97495417E-05      0.63706261E-06      0.64836690E-07     -0.34015601E-04     -0.19064789E-02      0.20567289E-03
    79     -0.96440498E-05      0.62136060E-06      0.63238627E-07     -0.33587557E-04     -0.18831767E-02      0.20047685E-03
    80     -0.95409818E-05      0.60622203E-06      0.61697907E-07     -0.33170154E-04     -0.18604064E-02      0.19546907E-03
